"id","budget","original_language","popularity","release_date","revenue","status","vote_average","vote_count"
11831,36000000,"en",3.698276,1997-12-03,7.4e+07,"Released",6.8,316
9096,40000000,"en",7.021871,1992-02-07,0,"Released",5.8,114
440,40000000,"en",39.381913,2007-12-25,41797066,"Released",4.9,740
11011,40000000,"en",14.398356,1994-12-19,0,"Released",5.4,415
10641,65000000,"en",8.680334,2000-08-11,0,"Released",5.7,135
11172,40000000,"en",17.659032,2007-02-09,145896422,"Released",6.2,554
39513,40000000,"en",43.151268,2011-02-14,97552050,"Released",6.5,1789
82687,40000000,"en",15.283444,2012-12-19,41863726,"Released",5.4,284
41446,40000000,"en",35.21926,2011-04-11,97138686,"Released",6.1,902
8224,40000000,"en",25.580272,1999-02-26,96618699,"Released",6.1,474
10537,38000000,"en",10.794175,1991-03-01,34416893,"Released",6.7,275
225886,40000000,"en",72.641296,2014-07-17,126069509,"Released",5.3,1695
10385,40000000,"en",3.415534,2000-02-16,36037909,"Released",5,40
55779,47000000,"en",38.555482,2011-08-12,157887643,"Released",5.9,866
10154,0,"en",6.786117,1999-08-16,0,"Released",5.3,140
10647,40000000,"en",24.313684,2000-10-12,55707411,"Released",7,432
11431,30000000,"en",9.965073,2005-04-06,50451307,"Released",5.9,182
8457,40000000,"en",15.055732,2008-03-20,0,"Released",5.5,275
188161,0,"en",32.808675,2014-05-22,0,"Released",5.8,1468
8850,25000000,"en",8.178203,1994-07-01,48063435,"Released",5.4,138
64685,40000000,"en",31.066874,2011-12-24,55247881,"Released",6.9,708
38357,40000000,"en",22.491388,2010-01-12,58785180,"Released",6.1,412
10060,40000000,"en",12.885985,2005-11-09,46442528,"Released",6.3,186
11398,40000000,"en",7.832337,2000-08-23,30199105,"Released",5.6,135
1833,40000000,"en",10.433667,2005-11-23,31670620,"Released",6.7,155
10391,40000000,"en",3.321949,2000-08-11,0,"Released",4.9,71
8970,75000000,"en",4.842626,1999-04-02,2.9e+07,"Released",5,45
9306,40000000,"en",13.210898,1996-08-23,49627779,"Released",4.6,147
11370,40000000,"en",3.296933,2001-09-07,27053815,"Released",5.2,56
12184,35000000,"en",22.939557,2008-02-28,0,"Released",6.4,477
1921,40000000,"en",19.372805,2001-02-16,65754228,"Released",6.4,278
1683,40000000,"en",13.445697,2007-04-05,62771059,"Released",5.4,205
